epoch,step,test_dice,train_dice,train_loss,val_dice,val_loss
0,1759,,,,0.7826370596885681,0.21797828376293182
0,1759,,0.5646926164627075,0.4399557411670685,,
1,3519,,,,0.8269249200820923,0.17474055290222168
1,3519,,0.7914317846298218,0.20828211307525635,,
2,5279,,,,0.8571434617042542,0.14287389814853668
2,5279,,0.8294774293899536,0.17002464830875397,,
3,7039,,,,0.8641217350959778,0.1373334378004074
3,7039,,0.853401780128479,0.14618563652038574,,
4,8799,,,,0.8790988922119141,0.1201881542801857
4,8799,,0.8709666728973389,0.12838171422481537,,
5,10559,,,,0.8824141025543213,0.11602174490690231
5,10559,,0.877896785736084,0.1213022768497467,,
6,12319,,,,0.890447199344635,0.10961508005857468
6,12319,,0.8849623799324036,0.11403360217809677,,
7,14079,,,,0.8914080858230591,0.1074216365814209
7,14079,,0.8904706239700317,0.10831959545612335,,
8,15839,,,,0.8975402116775513,0.09986080974340439
8,15839,,0.8964588046073914,0.10236167907714844,,
9,17599,,,,0.9008219242095947,0.09821358323097229
9,17599,,0.8994678258895874,0.09938985854387283,,
10,17600,,,,0.9008219242095947,0.09821358323097229
10,17600,0.90195232629776,,,,
